Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,user_id,transaction_date,status,age,subscription,raw_timestamp,email,username,store_id,price
1,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,USR01001,2016-11-08,Completed,27,Premium,08-11-2016 00:47,claire.gute602@gmail.com,claigut377,STR001,261.96
2,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,USR01001,2016-11-08,Cancelled,34,Standard,2016-11-08 00:31:55,claire.gute276@outlook.com,claigut631,STR001,731.94
3,CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,USR01002,2016-06-12,Shipped,54,Basic,2016-06-12 11:06:20,,darrhuf961,STR002,14.62
4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,USR01003,2015-10-11,Shipped,30,Standard,2015-10-11 02:37:20,sean.o'donnell025@gmail.com,seano'd591,STR003,957.5775
5,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,USR01003,2015-10-11,Completed,42,Standard,2015-10-11 01:20:19,sean.o'donnell016@outlook.com,seano'd402,STR003,22.368
6,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,USR01004,2014-06-09,Completed,31,Standard,2014-06-09 20:23:35,brosina.hoffman525@outlook.com,broshof980,STR002,48.86
7,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,USR01004,2014-06-09,Completed,24,Standard,2014-06-09 08:57:05,brosina.hoffman808@gmail.com,broshof511,STR002,7.28
8,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,USR01004,2014-06-09,Pending,27,Standard,09-06-2014 02:52,brosina.hoffman631@outlook.com,broshof376,STR002,
9,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,USR01004,2014-06-09,Shipped,20,Standard,2014-06-09 23:05:28,brosina.hoffman930@yahoo.com,broshof120,STR002,18.504
10,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,USR01004,2014-06-09,Shipped,19,Standard,2014-06-09 19:20:56,brosina.hoffman086@yahoo.com,broshof270,STR002,114.9
11,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,USR01004,2014-06-09,,36,Standard,2014-06-09 21:08:13,,broshof593,STR002,1706.184
