Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,total_amount
1,CA-2016-UPD001,11/8/2016,11/11/2016,Second Class,UPD-0001,Updated Customer 1,Corporate,United States,New York,New York,10001,East,TEC-PH-00000001,Technology,Phones,Updated Product 1,1186.17,8,0.1,303.34,9489.36
2,CA-2016-UPD002,11/8/2016,11/11/2016,Second Class,UPD-0002,Updated Customer 2,Corporate,United States,New York,New York,10001,East,TEC-PH-00000002,Technology,Phones,Updated Product 2,552.45,3,0.1,58.99,1657.35
3,CA-2016-UPD003,11/8/2016,11/11/2016,Second Class,UPD-0003,Updated Customer 3,Corporate,United States,New York,New York,10001,East,TEC-PH-00000003,Technology,Phones,Updated Product 3,1431.82,5,0.1,304.55,7159.1
4,CA-2016-UPD004,11/8/2016,11/11/2016,Second Class,UPD-0004,Updated Customer 4,Corporate,United States,New York,New York,10001,East,TEC-PH-00000004,Technology,Phones,Updated Product 4,2153.41,6,0.1,37.64,12920.46
5,CA-2016-UPD005,11/8/2016,11/11/2016,Second Class,UPD-0005,Updated Customer 5,Corporate,United States,New York,New York,10001,East,TEC-PH-00000005,Technology,Phones,Updated Product 5,2193.8,6,0.1,10.38,13162.8
6,CA-2016-UPD006,11/8/2016,11/11/2016,Second Class,UPD-0006,Updated Customer 6,Corporate,United States,New York,New York,10001,East,TEC-PH-00000006,Technology,Phones,Updated Product 6,2977.41,1,0.1,159.08,2977.41
7,CA-2016-UPD007,11/8/2016,11/11/2016,Second Class,UPD-0007,Updated Customer 7,Corporate,United States,New York,New York,10001,East,TEC-PH-00000007,Technology,Phones,Updated Product 7,1621.79,9,0.1,152.7,14596.11
8,CA-2016-UPD008,11/8/2016,11/11/2016,Second Class,UPD-0008,Updated Customer 8,Corporate,United States,New York,New York,10001,East,TEC-PH-00000008,Technology,Phones,Updated Product 8,1874.37,3,0.1,197.41,5623.11
9,CA-2016-UPD009,11/8/2016,11/11/2016,Second Class,UPD-0009,Updated Customer 9,Corporate,United States,New York,New York,10001,East,TEC-PH-00000009,Technology,Phones,Updated Product 9,2951.37,9,0.1,32.76,26562.33
10,CA-2016-UPD010,11/8/2016,11/11/2016,Second Class,UPD-0010,Updated Customer 10,Corporate,United States,New York,New York,10001,East,TEC-PH-00000010,Technology,Phones,Updated Product 10,1861.88,5,0.1,230.74,9309.4
11,CA-2016-UPD011,11/8/2016,11/11/2016,Second Class,UPD-0011,Updated Customer 11,Corporate,United States,New York,New York,10001,East,TEC-PH-00000011,Technology,Phones,Updated Product 11,138.47,9,0.1,483.16,1246.23
12,CA-2016-UPD012,11/8/2016,11/11/2016,Second Class,UPD-0012,Updated Customer 12,Corporate,United States,New York,New York,10001,East,TEC-PH-00000012,Technology,Phones,Updated Product 12,2444.35,9,0.1,17.82,21999.15
13,CA-2016-UPD013,11/8/2016,11/11/2016,Second Class,UPD-0013,Updated Customer 13,Corporate,United States,New York,New York,10001,East,TEC-PH-00000013,Technology,Phones,Updated Product 13,769.59,7,0.1,308.9,5387.13
14,CA-2016-UPD014,11/8/2016,11/11/2016,Second Class,UPD-0014,Updated Customer 14,Corporate,United States,New York,New York,10001,East,TEC-PH-00000014,Technology,Phones,Updated Product 14,2516.27,3,0.1,455.57,7548.81
15,CA-2016-UPD015,11/8/2016,11/11/2016,Second Class,UPD-0015,Updated Customer 15,Corporate,United States,New York,New York,10001,East,TEC-PH-00000015,Technology,Phones,Updated Product 15,850.46,8,0.1,380.13,6803.68
16,CA-2016-UPD016,11/8/2016,11/11/2016,Second Class,UPD-0016,Updated Customer 16,Corporate,United States,New York,New York,10001,East,TEC-PH-00000016,Technology,Phones,Updated Product 16,1332.95,6,0.1,277.89,7997.7
17,CA-2016-UPD017,11/8/2016,11/11/2016,Second Class,UPD-0017,Updated Customer 17,Corporate,United States,New York,New York,10001,East,TEC-PH-00000017,Technology,Phones,Updated Product 17,636.08,2,0.1,389.82,1272.16
18,CA-2016-UPD018,11/8/2016,11/11/2016,Second Class,UPD-0018,Updated Customer 18,Corporate,United States,New York,New York,10001,East,TEC-PH-00000018,Technology,Phones,Updated Product 18,2824.55,4,0.1,302.97,11298.2
19,CA-2016-UPD019,11/8/2016,11/11/2016,Second Class,UPD-0019,Updated Customer 19,Corporate,United States,New York,New York,10001,East,TEC-PH-00000019,Technology,Phones,Updated Product 19,2773.44,8,0.1,289.52,22187.52
20,CA-2016-UPD020,11/8/2016,11/11/2016,Second Class,UPD-0020,Updated Customer 20,Corporate,United States,New York,New York,10001,East,TEC-PH-00000020,Technology,Phones,Updated Product 20,1610.42,8,0.1,423.82,12883.36
10001,CA-2024-200001,01/15/2024,01/18/2024,Standard Class,NEW-0001,New Customer 1,Consumer,United States,Chicago,Illinois,60601,Central,OFF-PA-00000001,Office Supplies,Paper,New Product 1,386.29,7,0.0,84.59,2704.03
10002,CA-2024-200002,01/15/2024,01/18/2024,Standard Class,NEW-0002,New Customer 2,Consumer,United States,Chicago,Illinois,60601,Central,OFF-PA-00000002,Office Supplies,Paper,New Product 2,210.54,4,0.0,64.63,842.16
10003,CA-2024-200003,01/15/2024,01/18/2024,Standard Class,NEW-0003,New Customer 3,Consumer,United States,Chicago,Illinois,60601,Central,OFF-PA-00000003,Office Supplies,Paper,New Product 3,174.2,5,0.0,82.2,871.0
10004,CA-2024-200004,01/15/2024,01/18/2024,Standard Class,NEW-0004,New Customer 4,Consumer,United States,Chicago,Illinois,60601,Central,OFF-PA-00000004,Office Supplies,Paper,New Product 4,83.55,7,0.0,48.11,584.85
10005,CA-2024-200005,01/15/2024,01/18/2024,Standard Class,NEW-0005,New Customer 5,Consumer,United States,Chicago,Illinois,60601,Central,OFF-PA-00000005,Office Supplies,Paper,New Product 5,227.7,7,0.0,83.39,1593.9
10006,CA-2024-200006,01/15/2024,01/18/2024,Standard Class,NEW-0006,New Customer 6,Consumer,United States,Chicago,Illinois,60601,Central,OFF-PA-00000006,Office Supplies,Paper,New Product 6,368.09,3,0.0,81.12,1104.27
10007,CA-2024-200007,01/15/2024,01/18/2024,Standard Class,NEW-0007,New Customer 7,Consumer,United States,Chicago,Illinois,60601,Central,OFF-PA-00000007,Office Supplies,Paper,New Product 7,322.68,2,0.0,42.26,645.36
10008,CA-2024-200008,01/15/2024,01/18/2024,Standard Class,NEW-0008,New Customer 8,Consumer,United States,Chicago,Illinois,60601,Central,OFF-PA-00000008,Office Supplies,Paper,New Product 8,102.14,7,0.0,86.5,714.98
10009,CA-2024-200009,01/15/2024,01/18/2024,Standard Class,NEW-0009,New Customer 9,Consumer,United States,Chicago,Illinois,60601,Central,OFF-PA-00000009,Office Supplies,Paper,New Product 9,252.25,1,0.0,15.72,252.25
10010,CA-2024-200010,01/15/2024,01/18/2024,Standard Class,NEW-0010,New Customer 10,Consumer,United States,Chicago,Illinois,60601,Central,OFF-PA-00000010,Office Supplies,Paper,New Product 10,189.94,5,0.0,75.66,949.7
