customer_id,customer_name,email,registration_date,customer_type
1,Danielle Adams,raymondyoung@example.net,2023-08-02 06:54:10,REGULAR
2,Jessica Turner,maria62@example.net,2026-02-25 13:33:56,REGULAR
3,Brandon Odonnell,brian16@example.net,2025-04-28 02:58:28,VIP
4,Amy Williams,pricestacey@example.com,2025-06-05 23:25:41,VIP
5,Jennifer George,christiankelly@example.com,2024-03-03 22:24:39,REGULAR
6,Dr. Lindsay Henry,gary44@example.net,2024-08-05 11:37:05,REGULAR
7,Stephanie Harrell,braynatasha@example.org,2024-01-07 01:40:44,REGULAR
8,Ian Serrano,cthomas@example.com,2023-11-02 14:58:09,VIP
9,Tammy Bryant,dustindiaz@example.net,2026-02-25 21:30:10,REGULAR
10,Alexandra Johnson,samantha49@example.com,2026-02-13 15:30:40,VIP
11,Lori Wilson,dawnjones@example.com,2026-05-10 19:56:13,REGULAR
12,Gregory Scott,stephanie70@example.net,2025-05-10 02:36:15,PREMIUM
13,Lori Peterson,casekarl@example.org,2024-10-18 12:40:58,REGULAR
14,Jennifer Powers,vevans@example.net,2023-12-05 18:22:09,REGULAR
15,Mary Snyder,fisherrachel@example.com,2025-02-07 10:57:32,PREMIUM
16,John Donovan,katherinemcdowell@example.net,2026-01-25 04:06:06,REGULAR
17,Tommy Adams,zcochran@example.net,2025-12-18 03:24:55,PREMIUM
18,David Murray,wcain@example.net,2025-12-24 23:03:34,PREMIUM
19,David Shepherd,mramos@example.net,2024-05-02 08:48:10,PREMIUM
20,Sue Mason,robertmoody@example.com,2026-07-09 19:42:00,REGULAR
21,Antonio Allen,robertspatricia@example.org,2024-11-24 19:24:32,VIP
22,Dr. Joshua Stephenson,ethan45@example.com,2026-04-23 14:49:37,PREMIUM
23,Gavin Barnett,lcook@example.org,2025-12-16 05:24:05,PREMIUM
24,Douglas Palmer,kaylagomez@example.net,2024-04-29 11:23:26,VIP
25,Tristan Larsen,millermatthew@example.net,2024-01-05 07:29:05,PREMIUM
26,Todd Young,mccoyronald@example.net,2023-10-31 23:46:13,VIP
27,Veronica Owens,kennethwhite@example.com,2024-03-18 14:21:14,VIP
28,Matthew Conley,ewebb@example.net,2026-03-02 07:16:45,PREMIUM
29,Christopher Dunlap,sdiaz@example.org,2026-06-16 13:37:18,REGULAR
30,Amber Cameron,etrujillo@example.org,2025-10-12 18:24:44,PREMIUM
31,Renee Huang,amber16@example.com,2026-02-04 01:17:41,VIP
32,Shannon Knight,gwest@example.org,2025-04-07 09:45:56,REGULAR
33,James Barton,leslie68@example.org,2026-05-25 17:56:34,REGULAR
34,James Bailey,clopez@example.net,2024-10-11 16:34:08,VIP
35,Margaret Hatfield,hannah55@example.com,2025-12-26 19:26:03,VIP
36,Angela Kim,timothy04@example.com,2024-04-01 14:14:28,VIP
37,Trevor Anderson,petersullivan@example.net,2026-03-18 22:43:37,VIP
38,Steven Davis,james18@example.com,2023-10-11 22:58:45,PREMIUM
39,Kelly Yates,richard29@example.net,2024-11-16 07:00:34,VIP
40,Emily Reilly,jacksonbryan@example.com,2024-07-09 13:42:04,REGULAR
41,Ashley Hebert,reedjoshua@example.com,2025-09-27 04:10:48,REGULAR
42,Dawn Ford,blackjacob@example.net,2025-07-10 19:47:12,REGULAR
43,Sherri Robertson,xmunoz@example.com,2024-12-10 09:06:58,PREMIUM
44,Kaitlyn Rodriguez,gabrielleramos@example.com,2025-11-01 01:15:24,REGULAR
45,Timothy Duran,lisa08@example.org,2026-06-24 10:03:34,VIP
46,Garrett Jimenez,jdonovan@example.com,2025-02-14 01:49:42,PREMIUM
